NASH	Control	NASH	NASH	NASH	Control	NASH	Control
RL518-mf	RL585-mf	RL601-mf	RL606-mf	RL641-mf	RL654-mf	RL663-mf	RL686-mf
39.6931	9.12701	6.85098	11.9597	12.0635	38.3199	26.4592	96.6371
0	0	0	7.42917	17.9067	0	0	4.52807
0	0	4.65052	0	0	0	0	0
0	0	0	0	0	0	0	370.863
13.217	21.8768	61.03	38.3287	49.5036	21.1627	55.7753	289.636
0	108.818	62.5338	45.4421	192.942	52.4901	61.3674	83.2305
25.1287	23.3756	2.4878	0	5.24407	15.6248	2.83211	22.9789
0	8.73841	0	0	0	0	0	0
0	0	0	0	0	0	0	5.11227
6.00779	19.4547	36.5025	0	0	40.9991	0	43.6395
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
48.0618	13.6283	70.5366	3.86863	0	8.47448	9.77567	181.808
0	1.87414	18.7705	0	0	0	0	0
366.091	241.924	302.957	87.4781	351.371	49.7173	0	703.923
7.21111	1.73914	8.58501	0	6.65079	6.27594	0	25.3888
0	0	0	0	0	0	0	0
228.08	253.447	425.2	112.18	201.506	58.1396	48.0768	673.01
0	0	0	0	0	0	5.2403	7.67548
0	0	0	0	13.1506	0	9.16299	12.7634
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
28.4952	37.0653	66.6377	16.0428	46.3697	16.5178	41.3721	269.191
0	0	11.7016	0	0	0	0	4.91934
0	51.1592	52.927	23.494	63.8243	32.3133	0	184.906
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
81.8069	103.248	178.463	95.4288	154.798	21.3771	66.7408	752.758
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
32.2424	81.3268	62.1363	30.4489	110.244	8.13921	40.2584	649.781
245.544	159.005	275.48	112.81	293.662	133.088	85.9353	1470.14
32.2424	81.3268	62.1363	30.4489	110.244	8.13921	40.2584	649.781
71.6126	123.176	222.195	101.716	243.535	26.1947	64.9092	1153.72
87.4549	179.05	181.58	83.5958	249.495	24.1692	88.5156	1304.96
0	0	8.85747	0	8.90083	0	6.34547	26.1341
0	0	0	0	102.204	0	40.9773	316.087
132.448	253.674	201.38	63.815	168.935	172.155	46.174	1179.13
35.0826	18.711	85.9188	33.379	3.81621	0	8.98691	136.798
73.2593	94.3163	113.846	27.7821	83.1037	45.8174	29.9097	254.785
0	0	0	0	0	5.42744	0	11.9578
0	0	0	0	0	0	0	0
0	0	2.95064	0	0	0	0	0
0	7.33226	0	0	8.66927	0	10.4583	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	9.60967	9.07146	0	22.3608	0	0	4.22201
0	0	0	0	0	0	0	0
0	65.2028	0	23.1408	19.4618	10.5353	11.522	17.9543
78.5902	55.8737	20.4683	23.6012	83.8919	20.0684	24.4656	244.47
0	0	0	0	0	0	0	0
0	0	100.152	0	85.9994	13.9414	43.2428	26.4629
13.9601	0	4.28744	0	5.94745	0	0	50.0994
28.7605	14.9874	43.009	27.6307	36.3212	18.8818	47.1038	236.943
0	0	0	0	0	0	0	6.14252
0	0	0	0	0	0	0	4.83248
46.023	63.0901	70.7402	50.5719	36.1449	12.4418	14.9739	103.141
0	0	0	0	0	0	0	0
0	0	0	0	0	10.8112	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	16.0688	38.3102	0	0	12.6521
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	58.5213	0	0	71.4289	0	131.031
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
23.1764	30.0744	56.2288	0	17.3624	7.08768	0	61.2794
0	0	0	0	0	0	0	0
57.4033	13.4203	25.4981	43.8365	57.8797	93.0549	35.0601	148.357
0	0	0	0	0	0	0	0
49.2488	122.202	48.1549	32.4539	143.806	37.2802	37.9796	253.238
21.7645	0	0	0	1.24897	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
