"OTU"	"RL704.mf"	"RL703.mf"	"RL683.mf"	"RL651.mf"	"RL641.mf"	"RL628.mf"	"RL610.mf"	"RL607.mf"	"RL605.mf"	"RL591.mf"	"RL569.mf"	"RL514.mf"
"29"	"Dorea"	0.0224235908462602	0.050878918254456	0.0874729225917685	0.0372178301446325	0.039210080258133	0.0209337620877939	0.0125948960269618	0.118858588283082	0.0304203337837344	0.0428897786730207	0.0386832750843863	0.0941622935752617
"30"	"Eggerthella"	0	0.000135218192993239	0	0	0	0	0	0	0	0	0	0
"31"	"Eisenbergiella"	0.0013652110104268	0.00211432083589428	0	0	0	0	0	0	0	0.00231725990157787	0	0
"32"	"Enorma"	0.00013652110104268	0	1.96480059729938e-05	0.00014426532228873	0	0.00078501607829227	0.000104233622292097	0	0	0	0	0
"33"	"Enterococcus"	0	0.0153411186232329	0.000722064219507523	0	0	0	0	0	0	0.000384845284007631	0	0
"34"	"Erysipelatoclostridium"	0.00842164542057032	0.0322433927473878	0	0	0	0	0	0	0	0.0163108894838979	0	0
"35"	"Erysipelothrix"	0	0	0	0	0	0	0	0	0	0	0	0.00136381155682054
"36"	"Escherichia"	0.0186010000170651	0.100454824830977	0	0.0302537495868766	0	0	0.000747007626426698	0	0	0.00511762345754829	0.160938853541237	0
"37"	"Eubacterium"	0.033976689021997	0.0588936693300553	0.0541351684570912	0.0604471700389779	0.0156227663528499	0.0377098464275953	0.0986571234994701	0.0542456749321467	0.178395354782164	0.00338172558074791	0.0561654270095887	0.0685463547688932
"38"	"Faecalibacterium"	0	0.0145175169022741	0.0313926015433509	0.0511118921839671	0.00553433945310107	0.00824557628902547	0.0984312839845039	0.0116689130555197	0.0356425519482891	0	0.0415583833676853	0.0645438643303982
"39"	"Faecalitalea"	0	0	0	0	0	0	0	0	0	0.0025219648398798	0	0
"40"	"Firmicutes_unclassified"	0	0.00946527350952674	0	0.000521978166099223	0	0	0	0	0	0.0366831249437061	0	0.0095170328204216
"41"	"Flavonifractor"	0.0143432481782966	0.00296250768285187	0.00220548867046856	0.000506240130940453	0.00104151775685666	0	0	0	0.0224591900083994	0.00447894405004626	0	0
"42"	"Fusicatenibacter"	0.00802914725507261	0.00912108174554395	0.0123192997450671	0.00502567922736739	0.0146629362631977	0.147937733687657	0.00350919861716728	0.0243440852273776	0.000766899171018515	0.0421528408951338	0.0196179466499388	0.000711553855732456
"43"	"Fusobacterium"	0	0	0.00129676839421759	0.00917527449756323	0	0.0121939164161399	0	0	0	0	0	0
"44"	"Gemella"	0.00165531835014249	0.0836877688998156	0.00241670473467824	0.0952780648511969	0.0145199828455899	0.000174448017398282	0.0116567934263329	0.00723768024962611	0.0540846510608772	0	0	0.0460731121586765
"45"	"Gemmiger"	0	0	0.00275072083621913	8.91821992330331e-05	0	0.000540788853934675	0	0	0	0	0	0
"46"	"Giardia"	0	0	0	0	0	0.00372155770449669	0	0	0	0	0	0
"47"	"Gordonibacter"	0	9.8340503995083e-05	0	0.000369843826231108	0	0	0	0	0	0	0	0
"48"	"Granulicatella"	0	0	0	0.00118559864862738	0	0	0	0	0	0	0	0
"49"	"Haemophilus"	0	0	0	0.00118035263690779	0	0	0	0	0	0	0	0
"50"	"Holdemanella"	0	0	0	0.000225578503942378	0	0.00847817364555652	0	0	0	0	0	0
"51"	"Hungatella"	0	0.00365089121081746	0	0	0	0	0	0	0	0	0	0
"52"	"Intestinibacter"	0	0.00519975414874001	0	0	0	0	0	0	0	0	0	0.0336505677606807
"53"	"Intestinimonas"	0	0	0.000171920052263696	0	0	0	0	0	0	0	0	0
"54"	"Lachnoclostridium"	0.0338572330585846	0.00553165334972342	0.00268195281531366	0	0.000265484918414442	0	0	0	0	0.0369123944746043	0	0
"55"	"Lachnospira"	0	0	0.0264953360545822	0.0213827437690496	0.0354728694835297	0	0.0464881955422754	0	0	0.0146323089898221	0.00710935866415748	0
"56"	"Lachnospiraceae_unclassified"	0	0.0140749846342963	0.0934213564000923	0	0.163885882328915	0	0.112468078453173	0.104863278004468	0	0	0.0127998327209726	0.00219395772184174
"57"	"Lactobacillus"	0	0.000282728948985864	0	0.00159478756275542	0	0	0.00114656984521307	0.000323110725429737	0	0	0	0
"58"	"Megamonas"	0	0	0.0349980106393952	0	0	0	0	0	0	0	0	0
"59"	"Megasphaera"	0	0	0.010261171119396	0	0	0	0	0.000221561640294677	0	0	0	0
"60"	"Methanobrevibacter"	0	0	0	0	0	0	0.00668832409707625	0	0	0	0	0
"61"	"Mogibacterium"	0	0	0	0.00136134004123365	0	0	0	0	0	0	0	0
"62"	"Odoribacter"	0.00803767982388778	0	0.000756448229960262	0.0230614675193184	0	0.000878055020904687	0.00255372374615639	0.0074961688299699	0.019428112332469	0	0.00867013173223407	0.0172848290788342
"63"	"Oscillibacter"	0	0	0	0.00432009065108251	0	0	0.0050379584107847	0	0.0243581784318738	0	0.00500343519431251	0.00447685967565003
"64"	"Other"	0	0	0	0	0	0	0	0	0	0	0	0
"65"	"Parabacteroides"	0.106375535418693	0.00776889981561155	0.00535408162764082	0.0221565304976891	0.0238323769068965	0.00643713184199662	0.0402862950158956	0.159201270286738	0.0319541321257715	0.00232544809910994	0.0468978701795262	0.0405289216994278
